Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
66.450557,-52.129134,38303.349,0,1888.6116,2.01E+12,1205.14,1205.14,1,4/8/2011
66.45044,-52.129042,38303.4661,0,1888.4308,2.01E+12,1206.56,1206.56,1,4/8/2011
66.450323,-52.128951,38303.5832,0,1888.2468,2.01E+12,1207.98,1207.98,1,4/8/2011
66.450205,-52.128861,38303.7004,0,1888.0594,2.01E+12,1209.4,1209.4,1,4/8/2011
66.450088,-52.12877,38303.8175,0,1887.8738,2.01E+12,1210.82,1210.82,1,4/8/2011
66.968329,-50.878335,38028.5163,0,742.8176,2.01E+12,702.16,702.16,2,4/11/2011
66.968237,-50.878548,38028.6403,0,744.0987,2.01E+12,702.16,702.16,2,4/11/2011
66.968146,-50.878761,38028.7642,0,745.3882,2.01E+12,702.16,702.16,2,4/11/2011
66.968054,-50.878973,38028.8882,0,746.6865,2.01E+12,724.3,724.3,2,4/11/2011
66.967962,-50.879184,38029.0122,0,747.9896,2.01E+12,727.15,727.15,2,4/11/2011
72.316592,-79.011959,56828.0745,0,2846.572,2.01E+12,2738.78,2738.78,1,5/12/2011
72.316687,-79.012229,56828.1649,0,2846.1678,2.01E+12,2735.41,2735.41,1,5/12/2011
72.316782,-79.012499,56828.2553,0,2845.761,2.01E+12,2744.23,2744.23,1,5/12/2011
75.338517,-42.755594,53490.4561,3057.27,3401.4224,2.01E+12,458.87,3516.14,1,5/6/2011
75.338633,-42.755773,53490.5458,3057.34,3401.4629,2.01E+12,458.87,3516.22,1,5/6/2011
75.338748,-42.755952,53490.6355,3057.34,3401.5042,2.01E+12,458.88,3516.22,1,5/6/2011
75.338863,-42.756131,53490.7252,3057.34,3401.5401,2.01E+12,458.88,3516.22,1,5/6/2011
78.71929,-23.589511,53323.8187,1043.36,1356.1488,2.01E+12,468.22,1511.59,1,5/2/2011
78.71929,-23.588875,53323.9194,1043.36,1356.0884,2.01E+12,468.24,1511.6,1,5/2/2011
78.719291,-23.588238,53324.0201,1043.36,1356.028,2.01E+12,468.26,1511.62,1,5/2/2011
68.942838,-25.745066,49927.6065,0,524.4871,2.01E+12,464.83,464.83,1,4/26/2011
